"SampleID","Condition","Gene","Ct_Value","Technical_Replicate"
"Sample_1","Control","GeneA",24.8318573060343,1
"Sample_1","Control","GeneA",24.930946753155,2
"Sample_1","Control","GeneA",25.4676124942447,3
"Sample_1","Control","GeneB",22.0211525174274,1
"Sample_1","Control","GeneB",22.0387863205483,2
"Sample_1","Control","GeneB",22.514519496065,3
"Sample_1","Control","GeneC",28.1382748617968,1
"Sample_1","Control","GeneC",27.620481629618,2
"Sample_1","Control","GeneC",27.7939441444319,3
"Sample_1","Control","Housekeeping1",19.86630140897,1
"Sample_1","Control","Housekeeping1",20.3672245392318,2
"Sample_1","Control","Housekeeping1",20.1079441481172,3
"Sample_1","Control","Housekeeping2",21.1202314351782,1
"Sample_1","Control","Housekeeping2",21.0332048147835,2
"Sample_1","Control","Housekeeping2",20.8332476595738,3
"Sample_2","Control","GeneA",25.5360739410409,1
"Sample_2","Control","GeneA",25.1493551434688,2
"Sample_2","Control","GeneA",24.4100148530111,3
"Sample_2","Control","GeneB",22.2104067704691,1
"Sample_2","Control","GeneB",21.8581625776816,2
"Sample_2","Control","GeneB",21.6796528882039,3
"Sample_2","Control","GeneC",27.9346075256025,1
"Sample_2","Control","GeneC",27.6921986655078,2
"Sample_2","Control","GeneC",27.7813326312127,3
"Sample_2","Control","Housekeeping1",19.8124882196452,1
"Sample_2","Control","Housekeeping1",19.4939920067773,2
"Sample_2","Control","Housekeeping1",20.2513361133484,3
"Sample_2","Control","Housekeeping2",21.046011935351,1
"Sample_2","Control","Housekeeping2",20.6585589188964,2
"Sample_2","Control","Housekeeping2",21.376144476321,3
"Sample_3","Control","GeneA",25.127939266443,1
"Sample_3","Control","GeneA",24.9114785551023,2
"Sample_3","Control","GeneA",25.2685376983135,3
"Sample_3","Control","GeneB",22.2634400462599,1
"Sample_3","Control","GeneB",22.2464743244912,2
"Sample_3","Control","GeneB",22.20659207623,3
"Sample_3","Control","GeneC",28.1661752960613,1
"Sample_3","Control","GeneC",27.981426486827,2
"Sample_3","Control","GeneC",27.908211200878,3
"Sample_3","Control","Housekeeping1",19.8858586996963,1
"Sample_3","Control","Housekeeping1",19.7915879063238,2
"Sample_3","Control","Housekeeping1",19.9376248165941,3
"Sample_3","Control","Housekeeping2",20.6203810945295,1
"Sample_3","Control","Housekeeping2",21.6506867896016,2
"Sample_3","Control","Housekeeping2",21.3623885994915,3
"Sample_4","Control","GeneA",24.663067425039,1
"Sample_4","Control","GeneA",24.8791345494103,2
"Sample_4","Control","GeneA",24.860003393913,3
"Sample_4","Control","GeneB",22.2339895355009,1
"Sample_4","Control","GeneB",21.9749892800585,2
"Sample_4","Control","GeneB",22.0759955541984,3
"Sample_4","Control","GeneC",27.9914359733954,1
"Sample_4","Control","GeneC",27.9871388628126,2
"Sample_4","Control","GeneC",28.4105806852043,3
"Sample_4","Control","Housekeeping1",19.9322687043022,1
"Sample_4","Control","Housekeeping1",20.4549411813289,2
"Sample_4","Control","Housekeeping1",19.5353741587309,3
"Sample_4","Control","Housekeeping2",21.1753841248908,1
"Sample_4","Control","Housekeeping2",21.0371562731534,2
"Sample_4","Control","Housekeeping2",21.0647824706232,3
"Sample_5","Control","GeneA",25.113891844828,1
"Sample_5","Control","GeneA",24.8493029640672,2
"Sample_5","Control","GeneA",24.9000377848992,3
"Sample_5","Control","GeneB",21.6944273850679,1
"Sample_5","Control","GeneB",21.6784626320573,2
"Sample_5","Control","GeneB",22.0910585924213,3
"Sample_5","Control","GeneC",28.1344629335888,1
"Sample_5","Control","GeneC",28.0159012680191,2
"Sample_5","Control","GeneC",28.2766802403639,3
"Sample_5","Control","Housekeeping1",20.6150254056881,1
"Sample_5","Control","Housekeeping1",19.852690650183,2
"Sample_5","Control","Housekeeping1",19.3072493373078,3
"Sample_5","Control","Housekeeping2",21.3017215573387,1
"Sample_5","Control","Housekeeping2",20.7872397712253,2
"Sample_5","Control","Housekeeping2",20.7935974150598,3
"Sample_6","Treated","GeneA",22.807671410909,1
"Sample_6","Treated","GeneA",22.4145680978847,2
"Sample_6","Treated","GeneA",22.1337846863236,3
"Sample_6","Treated","GeneB",25.0543910439247,1
"Sample_6","Treated","GeneB",24.9583325912683,2
"Sample_6","Treated","GeneB",25.00172925577,3
"Sample_6","Treated","GeneC",28.1155841203379,1
"Sample_6","Treated","GeneC",27.8888019904623,2
